stage,Epithelial_cell,Granulocyte,Hepatocyte,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,0.56,0,0,0
21Day,0,0,0,0.74,0,0.37,0
3Month,0,0,0.62,0,0.52,0,1.35
22Month,0.14,0.14,3.14,0.14,0.41,0,0
