stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0.28,0.28,0,1.41,0,0.56,1.69,0.28,0,0,0,1.41,0,0,0,0,0
21Day,0.37,0,1.48,0.37,0,0,0,0,0,0,0.37,0,0.74,0,1.48,2.59,0,0,0,0,0.37,0,0,0,0,0
3Month,0.21,0.1,3.54,0.1,0.1,0.31,0.1,0,1.25,0,0.31,0.1,0.94,0.21,1.77,0,0,0,0.1,0,0.21,0.21,0.62,0.1,0.21,0.1
22Month,0.14,0.82,4.1,0,0,0.14,0.68,0.55,4.37,0,0,0,0.96,0.14,1.09,0.14,0,0.14,0,0.14,0,0,0.14,0.14,0,0
