stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,1.11,0,0,0
3Month,0.1,0.21,1.46,0.1,0.42,0,1.87,0.42,0,0.83,0.21,0.52,0.83,0.21,0,0,0.1,0.1,0.1,0,4.06,0.1,4.26,0.1
22Month,0,0.14,0.96,0.14,0.68,0.27,10.52,0,0.14,0.55,0,0.14,0.68,0.55,0.41,0.14,0,0,0,0.14,2.46,0,0,0.14
