stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,36,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,9,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0
72hpf,26.49,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0.56,0,0,0.28,0,4.23,2.25,0,0,0,0,0,0.85,0,0,0.28,0
21Day,28.86,0,1.11,0.37,0.74,0,0.37,0,0,0,0,0,0.74,0,0.37,0.37,0,1.48,0,0,0.37,0,1.11,0.37,0,0,0.37,0.37,0,0,0.37,1.48,0,0
3Month,0.31,0.21,1.14,0,0,0.1,0.1,0.42,0.1,0,1.98,2.81,0,0.73,0.21,0.1,0.1,0.62,0.21,0,0,0.31,0.42,0,0.1,0,0,0,12.07,0,0,0,0.21,3.22
22Month,0,0,0,0,0,0,0,0,0,0,0.68,0.41,0,0,0,0,0,0,0,0.14,0,0,0.27,0,0,0.14,0,0,3.55,0,0,0,0,0
