stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0
72hpf,1.41,0,0.56,0.28,0.28,0,0.28,0,0,0,0,0,0.56,0,1.13,0,0,1.69,2.54,1.69,0,0.85,0,0,0,0
21Day,1.11,0.37,0,0,0.37,0,0,0,0,0,0,0,0.74,0,1.85,0,0,0,0.37,1.11,0,0.37,0.37,0,0,0
3Month,0,0.21,1.04,0,0,0.21,0.31,0,0.83,0.31,0.94,0.1,0.31,0.1,0.94,0.62,0.31,0.21,0,0,0.42,0,0,0.1,0.21,1.04
22Month,0,0.14,0.14,0,0,0,0.14,0.14,4.65,0,0.27,0,0,0,1.09,0,0,0,0,0,0,0,0,0.14,0,0.27
