stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72hpf,0,0,0.28,0,0,0,0,0.28,3.1,1.41,0.28,0,0,0.56,0.56,20.57
21Day,0.74,0.37,0.74,0.74,0.37,0.74,0.37,2.22,6.29,1.11,0,0.74,0.74,1.48,0,22.94
