stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,1.11,0,0,0,0,0.37,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.31,5.62,0.42,0.42,0.94,3.12,0.42,1.25,0.83,0.31,0.94,0.83,0.31,0.42,0,0.1,0.42,1.77,0.1,0.1,0.31,97.46,0.52
22Month,0,0,0,0.55,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0
