stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.28,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0.37,0.37,0,0,0
3Month,0.1,0,0.31,0,0,1.98,0.21,0.1,0.1,0.1,0.31,0,0,0.1,0,0,0.1,0.31,0,0,0,0.21,0.1
22Month,0.14,0.14,0.27,0.14,0.41,4.51,0.14,0.14,0.27,0.14,0.14,0.14,0.14,0,0,0,0,0.27,0.27,0,0.27,0,0.14
