stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,12.4,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,12.21,0.37,0.37,0,0.37
3Month,0,0.1,0,0.31,0.1,0.1,0.1,0.21,0.21,0,0,0,0,0,0
22Month,0,0.27,0,1.5,0.14,0,0,0.14,0,0.27,0,0,0,0.14,0
