stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,1,0,0,0
72hpf,0,0,0,5.36,0,0.28,0.28
21Day,1.48,0,0,0.74,0,0.37,0
3Month,0,0,0.1,0.1,0,0,0
22Month,0,0.55,0,0,0.14,0,0
