stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,8,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,111,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,0,1.97,0.85,0.28,0,0,0,0,0,0,2.25,0,7.89,0,0,0,3.38,20.86,0.28,0,10.71,0.28,0,5.92,0,0.56,0,0
21Day,2.59,0,1.85,0.74,0.74,0,0,0,0,0,0,1.48,0,13.69,0,1.85,0,2.96,9.62,0,0.37,12.58,0.37,0,3.7,0,0.37,0,0
3Month,0,0.31,1.25,0.1,0,0,0,1.04,0,0.1,0.21,0.73,0.21,1.66,0.31,0,0,0,0,0.31,0,0.1,0.1,0.1,0,0,0.1,0.21,0.1
22Month,0,0.14,0.41,0,0,0.14,0.82,2.73,0.14,0.27,0.14,0.14,0.27,3.14,0,0,0.14,0,0,0,0.14,0,0,0,0.14,0.27,0,0,0.14
