stage,Epithelial_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,1,0,7,7,1,1,0
72hpf,0,0,0,1.97,0,0,0
21Day,0,0.37,0,1.11,0,0,0.37
