stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.85,0.56,1.13,0,0,0,0,0,0,0,0,0,0.56,0,1.41,0,0,39.18,5.64,0,0.28,0,0.56,0,0.28,1.13,0.28,0,0,0,0,0
21Day,0,0,0.74,0.37,0.74,0,1.85,0,0,0,0,0.74,0.37,0,0.37,0.74,0.74,0,0,17.02,4.07,0.37,0.37,0,2.59,0.37,0.74,0.74,0,1.11,0,0,0,0.37
3Month,0.21,0.1,1.98,0.1,0,0.21,0.42,0.21,0.62,1.87,0.62,0.1,0.83,0.21,0.42,0.31,3.33,1.66,0.21,2.81,0,2.39,0.52,0,0,0.31,20.39,0.52,0,0,0.21,0.1,21.32,3.74
22Month,0,0.41,0.68,0,0,0,0.41,0.14,1.09,4.1,0.55,0.27,0,0,0,0.41,6.42,0.41,0.14,1.5,0.27,1.64,1.37,0.14,0,0,8.34,0.96,0.27,0,0,0,0,1.64
