stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,5,0,0,0,0,0,0,0,1,0,4,8,0,1,59,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.85,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0.28,0,1.69,0.28,17.76,9.86,0,0,1.69,0,0,0.28,0.28,0,0,0,0
21Day,0.37,0,0.37,0.37,0.37,0,0.37,0.37,0,0,0,0,0,0.37,1.85,0,9.62,7.03,0,0.37,2.22,0.74,0,1.11,0,0,0,0,0.37
3Month,0.1,0.1,0,0.52,0,0.1,0.1,1.25,0.52,0,0.21,0,0.31,0.42,0.52,0,0,0.1,0.1,0,0,0,0.21,0,0,0,0.1,0.42,0.73
22Month,0,0,0,0,0,0,0,0.41,0.96,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
