stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
21Day,0.74,0,0,0,0,0,0,0
3Month,0.62,0.21,0.1,0.1,0.1,2.18,0.1,0.42
22Month,0,0,0,0,0,0.82,0,0
