stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,3,1,1,0,0,0,0,2,0,0,0,0,0,3,5,8,0,5,70,1,0,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,1.69,5.64,0,0.28,0,0,0,0,0
21Day,0,2.22,0,4.07,0,0.74,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0.37,2.22,0,1.11,0,0.37,0,0,0
3Month,0,0.21,0,0,0,0,0.1,0.21,0,0.73,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,1.04,0,0.1,0.73,0.1
22Month,0,0.14,0,0,0.14,0.14,0,0.41,0,0.82,0,0.14,0.55,0,0,0.55,0,0.14,0,0,0.14,0,0.68,0,0,0,0.14
