stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0
3Month,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0.21,0.31,0.1
22Month,0,0,0.27,1.23,0.14,0,0.14,0,0,0,0,0.14,0,0,0
