stage,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
72hpf,0,0,0,10.15,1.41,0.28,0.28
21Day,0,0.37,0.37,2.96,0.37,0,0
22Month,0.27,0,0,0,0,0,0
