stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,2.25,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,2.59,0,0.37,0,0.37,0,0,0.37,0,0,0
3Month,0,0,0.21,0.31,0.1,0.1,0,0.21,0,0.73,0.21,0.21,0.31,0,0.42,0,0,0.1,3.02,0.1,0,0,0.1,0.73,0
22Month,0,0.14,0.41,0,0,0.68,0.14,2.32,0.14,0.41,0,0.55,0.41,0.14,0.41,0,0,0,0.41,0.27,0.27,0,0,0,0.14
