stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,1.13,0,0,0,9.02,1.13,0,0,1.13,0,0,0,31.29,0.56,0,0,0,0
21Day,2.59,0,0,8.14,0,4.81,0,0.74,0,0,0,0,0.37,1.11,0,0.37,1.11,1.48,3.7,0,0,1.11,11.47,1.48,0,0.74,2.59,2.22,0,0,164.27,3.33,0.37,0,0,0.74
3Month,0,0,0,8.01,0,0,0,0,0,2.7,0,1.87,0.21,0.1,0.73,0.21,1.56,0.62,0.42,0.1,0,0.21,0.21,0.1,1.14,0.1,0,0.42,0.21,0.1,3.12,0.1,0,0.1,0.52,0.1
22Month,0,0.55,0.27,4.24,0.14,0,0.41,0,0.41,13.94,0.96,8.06,0.68,0.27,1.37,0,0.96,8.06,1.78,0.14,0.55,0.14,0.68,0,1.64,0.68,0,0.14,0.41,1.23,100.3,0,0,0,0,0.68
