stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,8,0,0,0,0,0,0,0,0,0,0,25,23,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,1.13,1.41,0,0,0,0,0,0,0,0.28,1.69,16.63,1.69,0,0,0,20.86,4.23,0.85,0.28,0,1.13,0,0.28,3.1,0,0,0,0
21Day,0,0,0,3.33,0.37,2.59,0,0,0,0,0,0,0,0,0.37,2.59,1.85,0,0.37,0,14.06,1.48,1.48,0.74,0,1.85,0.37,0,2.59,0.37,0,0,0
3Month,0,0.31,0.1,2.29,0.1,0,0.1,0.1,0.42,3.22,0.62,0,0.62,0.31,0.52,1.77,0.94,0.31,0.21,0.21,0.31,0,2.18,0.1,0,0,0.42,7.07,0.1,0,0.73,122.43,0.73
22Month,0,0,0,0.55,0,0,0,0,0.14,2.05,0,0.14,0.14,0.14,0,0.41,0.14,0,0,0,0,0,0.41,0,0.27,0,0,0.55,0,0,0,0.41,0
