stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,0,0,2.25,1.69,0,0,1.13,0,0,0,0,0,0,0
21Day,0.37,0,0,2.59,0,0,0,0,0,0,0,0.37,0.37,1.48,0.37,4.44,0,0,0,0,0.37,0.37,0,0,2.96,0,0,0.37,0.37,0.37,0,0
3Month,0,0.21,0.21,9.05,0,0.1,0.1,0.42,3.85,0.83,0.1,0.42,0.31,2.6,2.6,3.74,0.62,0.1,0.21,0.52,0.1,0.1,8.43,0,0,0.21,4.26,0.1,0,0,0.73,0.42
22Month,0,0.55,0.41,2.19,0,0.27,0,3.83,9.98,0.41,0.41,0.68,0.14,1.09,2.73,3.42,0.14,0.14,0,0.14,0.27,0,0.14,0.14,0,0,0.82,1.64,0.14,0,0,0
