stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,13,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,5,102,0,1,0,0,0,2,0,0,0
72hpf,1.13,2.82,0,3.38,0,0,0,0,0,0,0,0,0,1.97,0,14.94,0,0,1.13,0,4.79,17.47,0,7.33,0,0,1.13,0.28,0,0,0
21Day,0.74,0,0,6.66,0,0,0,0,0,0.37,0,1.85,0,0.37,1.11,7.4,0,0,5.55,0,2.59,3.7,0.37,1.11,1.48,0.74,0.74,0,0,0,1.48
3Month,0,0.21,0.21,3.85,0,0.1,0.1,0.31,0,2.7,0.83,0.31,2.91,1.14,5.62,1.35,0,0,0.1,0.21,0,0,0,0,0.42,20.91,0,0,0.42,5.93,7.8
22Month,0,0.14,0.82,4.92,0.14,0,1.09,0.55,0.41,12.3,0.14,0.41,14.21,0.27,5.33,2.19,0.14,0.14,0.55,0,0.14,0.41,0.41,0,0.27,13.94,0.41,0,0.27,0,5.6
