stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0.85,0,0.28,0.56,0,0
21Day,0,0.37,0,0,2.22,0,0,0,0.37,0.74,1.48,0.37,0.74
3Month,0,0.21,0,0.94,0,0,0.1,0,0.21,0.1,0,0,0.1
22Month,0.14,0,0.14,3.83,0,0.27,0,0,0,0.14,0,0,0.14
