stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0,0,1.41,0,0,0.56,0,0,0.85,0,0,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0
3Month,0,0.21,0.73,0.1,0.62,0,0.94,0.42,0.21,0.31,0,0.52,0.52,0.1,0.1,0,0.1,0,0.21,9.26,0.21,8.22,0.21
22Month,0,0,0,0.14,0.14,0,0.41,0.14,0,0,0.27,0.14,0,0,0,0,0,0,0,2.6,0,0,0
