stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.54,21.42,0,0,0,0,0,0,0,0,3.38,0,0.28,0,0,0,0,1.13,0,0,0,2.54,0,0,0,0.28,0,0,0,0,0
21Day,0,0,1.85,24.42,1.11,0,0,0.37,0,0,0.37,0.74,5.18,0,1.11,0,0,0,0.37,0.37,0,0,0,1.85,0.37,0,0,0.37,0.37,0,0,0,0
3Month,0.31,0,15.39,4.78,0,0.83,1.14,4.37,0.94,0.31,2.08,0.94,1.04,0.73,0.83,0.42,0.1,0.42,0.62,0.73,0.1,0.1,0.42,0.83,0.73,0.1,1.77,0,0,0.21,0.31,117.23,0.83
22Month,0,0.14,5.88,1.23,0,0.14,0.14,3.01,0,0,0.27,0.27,0.41,0.14,0.27,0,0.14,0,0.14,0,0,0.14,0.14,0.41,0,0,0.41,0,0,0,0.14,0.14,0
