stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,0,0,0.85,0.56,0,0.28,2.54,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.42,0.52,3.12,0.1,0.1,0.73,0.83,0.1,170.8,1.46,0.31,3.74,0.83,0.94,1.04,1.77,0.1,0.21,0.42,0.42,0.21,0,0.21,3.02,0.21,1.98,2.5,0,4.26,0.21,0.52,0.42
22Month,0.14,0,0.14,0.41,0.14,0,0,0.82,2.73,126.4,0,0,2.05,0,0,0.82,0.55,0,2.6,0.27,0,0,0,0.14,0.27,0,0.27,0,0.14,0.27,0,0,0.41
