stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.85,0,0.28,0.85,1.69,0,0,0,0,0,0,0,0,0.28,0.28,0.56,0,0,22.55,0.85,0,0,0.56,0,0,0.28,0,0,0
21Day,1.11,1.11,0.37,0.37,0.74,1.85,0.37,0,0,0,0,0.37,0,0,1.11,0.37,0.37,0.37,0.74,13.69,0.74,0,0,0.74,0.37,0,0.37,0.74,0,0.37
3Month,0,0.73,0.1,0.21,0,0,0,0.1,0.1,0.21,1.46,0,1.04,0,0,1.35,0.1,0,0,0.42,0,0,0,0,0,1.77,0,0,0.1,0.1
22Month,0,0.14,0,0,0,0,0.14,0,0,0.55,0.14,0,0,0.14,0.14,0.41,0.27,0,0,0,0,0.14,0.14,0,0.27,0,0.14,0,0,0
