stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0,4.23,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0,2.59,0,0,0.37,0,0,0,0,0.37,0.74,0,0.74,0.74,1.48,0,0,0,0.74,0.37,0,0.37,0,0,0,0,0,0,1.48
3Month,0.1,0.83,0,14.98,0,0.31,0.21,2.91,5.82,3.54,4.26,0.73,3.74,0.83,5.82,5.93,4.58,0.73,0,1.04,0.21,0,0.31,0,0.31,0.42,0,0,0.73,0.21,4.47
22Month,0,0.41,0.41,2.6,0,0,0,0.68,3.01,7.79,1.09,0.68,3.69,0,0.82,3.69,3.96,0.27,0.27,0.14,0,0,0.14,0,0,0.96,0.14,0,0,0,0.96
