stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,3,0,1,0,0,0,1,3,18,0,0,5,106,3,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0.28,0.56,1.13,0.28,3.38,0.28,0,2.54,11.84,2.54,0,0.56,0,0,0.28,0
21Day,0.74,0,1.48,0.37,0.37,0.37,0.37,0,0.74,0,5.55,0,0.37,0.74,6.66,1.48,0.37,0.74,0.37,0.37,0,0
3Month,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
