stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.85,0.85,0,0,0,0,0,0,2.54,0.28,0.56,0,0,0.28,224.91,4.79,0.28,0.28,2.54,0,0,2.25,0.28
21Day,0.37,0,2.22,1.48,0,0,0,0,0.37,0.74,0,0,1.11,0,0,0,52.54,1.85,0,0,0.37,1.48,0,0,0.37
3Month,0,0,0.31,0,0.1,0,0.52,0.31,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0.21,0,0
22Month,0,0.27,0.41,0,0,0.27,3.14,0.96,0,0.27,0,0.14,0,0.27,0,0,0.14,0.14,0,0,0,0,0.55,0,0
