stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,14,5,27,0,2,0,0,6,0,0,0,0,5,3,11,46,0,0,4,182,4,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.56,0,0,0,0,0,0,0,0,1.13,0,1.69,0,0.28,3.66,9.3,1.13,0.28,1.13,0.28,0,0,0,0
21Day,1.48,0,1.85,0.37,15.17,3.7,0,0,0.74,0.37,2.22,0.37,1.11,1.85,0.37,1.48,0,0.74,1.48,7.03,0.37,0,0.37,0,0.37,0.37,0,0.37
3Month,0,0,0.1,0,0,0,0,0,0,0.21,0,0.1,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0.21,0
22Month,0,0,0,0,0,0.14,0.14,0,1.64,0,0.14,0.14,0,0,0.27,0.27,0.27,0,0,0,0,0.14,0,0,0,0,0,0
