stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,63,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
72hpf,0.85,0.28,0,17.47,0.56,0.85,0,0,0.28,0,0,0,0.28,0,0.28,69.9,0.28,0.28,0,0,0,6.48,0.85,0.28,0.56,0,0.56,0.28,0,0,0,0,0
21Day,0.37,0,0,70.3,1.11,1.11,0,0.74,0,0,0.37,0,0,0,2.22,12.21,0.74,0.74,0.37,0,0,0.74,0.74,0,0,0,0.37,0.37,0,0.74,0,0,0.37
3Month,0,0,0.83,25.28,0.1,0,0,0,1.14,0,0.94,1.46,0,0.52,0.42,0.83,0.73,0.42,0,0.1,0.1,0.21,0,6.24,0,0,0.1,0.21,2.08,0,0.31,6.24,1.14
22Month,0,0.14,1.23,3.28,0.14,0,0.14,0,1.5,0,1.78,0.41,0,0.27,0.14,0,0.68,0.14,0,0,0,0.14,0,1.09,0,0.14,0,0,0.68,0,0,0,0.41
