stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,9,0,0,0,0,0,0,21,0,0,0,0,3,4,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.25,2.54,0,0,0,0,0,0,0,0,0,0,2.54,4.79,0,0.56,0,0,0,0,0.85,0.85,0.56,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,1.11,8.51,1.11,0.37,0,4.07,0,0,0,0,0,0.37,0,2.22,4.44,0,0.37,0,0,2.22,0,1.85,1.11,1.85,0,0,0,1.48,0,0,0,0,0,0,0
3Month,0.1,0.42,3.74,29.44,0.42,0,0.1,78.95,0.83,0,0,6.14,6.66,0,6.45,4.78,1.87,0.73,1.35,0.21,0,31,0.83,0.62,0.21,9.05,0.31,0,0.21,1.46,1.66,0.1,0.1,0.1,0.42,2.39,1.25
22Month,0,0.55,4.78,15.99,0,0,0.14,34.3,1.64,0.14,0,12.85,2.19,0,10.11,1.64,0.68,1.09,1.37,0.14,0.55,15.03,0.41,0.68,0,7.38,0.14,0.41,0,0.68,1.37,0.14,0,0.14,0.14,0,1.09
