stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Pancreatic_macrophage,Spermatocyte
21Day,0,0.37,0,0,0,0,0.37,0,0
3Month,0.1,0.62,0.21,0.21,0.1,0.1,10.82,0.1,0.1
22Month,0,0,0.27,0,0,0,0.96,0,0
