stage,Enterocyte,Epithelial_cell,Granulocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0.56,0,0,0,0,0.28,0.28,0,0,0,0,0,0
21Day,0,0.74,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,0
3Month,0.1,0.31,0.21,0.1,0.83,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1
22Month,0.14,0,0,0,1.09,0,0,0.14,0,0,0,0,0,0,0,0,0,0
