stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.69,0.28,0,0,0,0,0,0,0,0,0,0,4.79,0,4.79,0,0,0.56,0,3.1,2.82,0,0,0,4.23,0,0.28,0.56,0,0,0,0
21Day,1.11,0.37,0.37,2.59,1.11,0,0.37,0,0.37,0,0,0,2.96,0,0,0.74,0.74,25.16,0,0,1.11,0,0.37,1.85,0,0,0,4.44,0.37,0,0,0,0,0,3.33
3Month,0.73,3.54,0.1,9.99,0.42,0.21,0.1,0.62,3.12,0,6.55,3.12,1.04,3.12,0.62,11.86,6.03,141.78,1.66,0,1.04,0.42,0.42,0.1,0.62,0.1,0,1.56,1.25,25.69,0.52,0.52,2.81,2.91,28.71
22Month,0,1.37,0,1.5,0,0.14,0,0.41,1.91,0.82,12.3,1.64,2.19,1.09,0,0.82,3.28,16.67,0.68,0.27,0,0,0.41,0.14,0.14,0.14,0.14,0.14,0,5.19,1.91,0,0.41,0,6.83
