stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,8,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0.28,0.85,0,0,0,0,0,0,0,0,0.28,0.28,0.56,3.38,0,0,115.84,2.54,0,3.95,0,0,1.69,0,0,1.69,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0,0.37,0.74,0.74,8.88,0,4.81,45.51,1.11,0.37,0.37,2.22,0.37,0.37,0.37,0.37,2.22,0,0.37
3Month,0,0.31,0,0.62,0,0,0.21,0.21,0.1,0,2.39,0.1,0,0.31,0,0,0.21,0.83,0,1.66,0.21,0,0,0,0.21,0.31,0,0,0,0,1.56,0.1
22Month,0,0.55,0.14,0.27,0,0,0.14,0,0.27,0.41,7.11,0.41,0,0.27,0,0.14,0.27,1.78,0.27,0.96,0.27,0,0.14,0,0.14,1.91,0,0,0,0,0.55,0.14
