stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,2.82,0,0.56,0,0,0,0,0.85,0,0,0,0.56,0,0,0,0,0,0,0
21Day,2.22,0,0,8.14,0,0,0,0,0,0.74,0,0,0.37,0.74,0,0,5.55,0,1.11,0,0,0.37,0,0.74,1.48,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.31,1.35,0.42,60.12,0.42,0.73,0.1,0.21,1.46,16.12,0,8.32,7.49,3.95,3.43,1.77,36.51,5.3,12.27,2.5,0,0.73,5.62,0.31,0,0.1,0.42,0.52,1.04,47.43,0.1,0,1.04,180.37,28.08
22Month,0,0.55,0.27,4.78,0.14,0,0,0,0.27,16.53,0.14,3.28,2.19,6.83,0.41,0.27,5.33,5.88,10.52,0.27,0.27,0.14,0,0.14,0,0.27,0.27,0.14,0,6.56,0,0.41,0,0.27,3.96
