stage,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte
72hpf,0,0.28,0,0,0.56,0,0
3Month,0.1,0,0.1,0.1,0,0.1,0.1
