stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.69,0.28,0,0,0,0,0,0,0,0,0.28,12.12,0.56,0,0.85,0,0.28,0,0,4.51,2.54,0.56,0,0,0,0,0,0,0.28,0,1.97,0,0,0
21Day,1.48,0,4.07,3.33,0,0,0.37,0,0,0,0,0,2.22,28.86,5.55,2.22,0.37,2.59,0,0,0,0,3.7,2.96,0,0,0.74,0.74,0,0.37,0.37,0,0.37,7.03,0,0,0.37
3Month,0.21,0.73,1.98,10.92,0.21,1.04,0,9.36,2.39,0,6.66,2.29,0.1,256.3,0.21,1.56,1.77,2.08,0.73,0,0.52,0.62,0.42,0,0.94,0.21,0,1.46,0.1,2.18,0,0.1,0,0.42,0.52,5.3,1.56
22Month,0,0.14,0.14,9.7,0,0,0,11.21,0.82,2.32,4.24,0,0,37.03,0.27,0,0.27,0.55,0,0.14,0.14,0,0,0,0.41,0.14,0,0.14,0,3.42,0.14,0.14,0,0,0,0,0
