stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0.28,0,0,0,0,0,0,1.13,0.56,0,0,0,0,3.38,0.56,0,0,0,0.28,0,0,0,0.28,0.56,0,0,0
21Day,0,0.37,0.37,1.48,0.37,0,0,0.37,0,0,0.37,0,0.37,0,1.11,1.48,0,1.85,0,0,2.96,0.74,0,0.74,0,0,0.74,0,0.37,0.74,1.48,2.59,0,0
3Month,0,0.52,0.1,0.62,0,0,0,1.77,0,0,0.62,0.21,0,1.66,0.21,0.1,0,0.31,0,0.21,0,0,0.52,0,0,0,0.1,0.1,0,0,0,0,1.77,0.1
22Month,0,0,0.27,0.41,0,0.14,0.14,0.27,0.27,0,2.6,0.14,0,1.23,0,0,0.14,0.27,0.14,0,0,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0
