stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0.56,0.28,0,0,0.28,0.28,0,0,0,0
21Day,1.11,0,0.37,0,0,0,0,0.74,1.85,0.37,0,0,0,1.11,0,0,0
3Month,0.31,0,0,0.21,0.1,0.62,0.1,0.1,0,0,0.1,0.1,0,0,10.51,4.89,0.21
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.82,0,0
