stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,1.41,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0,5.92,0,0,0.37,0,0,0,0,0,0.74,0,1.11,0.37,0.37,0.74,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0.21,46.39,0.21,45.98,0,0.1,0.1,1.04,1.87,0,4.99,1.77,0.42,2.7,1.66,13.11,1.46,1.77,0.62,0,0.21,0.42,0.42,0.52,0.1,0.21,0.31,2.5,0,21.84,3.33,1.25
22Month,0,29.52,0.14,11.21,0,0.27,0,0.14,0.82,1.23,7.52,0.55,0.55,3.01,0.14,1.64,2.05,1.5,0.14,0.27,0,0,0.27,0,0.27,0,0.14,1.37,0,1.37,0,0.27
