stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,3.7
3Month,0.1,0.31,0.1,2.39,0.21,0.31,1.25,3.02,0.73,0.1,1.04,0.73,2.08,1.25,0.1,0,0.21,0.1,0,0.42,0.1,0.1,0.21,18.2
22Month,0,0,0,0.27,0,0,0.27,0.96,0.14,0.14,0.27,0,0.27,0,0,0.14,0,0,0,0,0,0,0,4.65
