stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0
72hpf,0,1.69,0,0.28,1.41,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0.85,2.54,3.66,0.56,1.41,0,0,23.39,0,0
21Day,0.74,0,0.37,1.85,0.37,0.37,0,0,0,0.37,0,0.37,0,0.74,0.37,1.48,0,0,0.37,1.48,2.59,1.48,0.74,0.37,0,39.59,0.37,0
3Month,0,0.94,1.98,2.39,0,0,0,0.21,1.14,0.83,0.21,0.62,0.21,0.1,0.21,0.52,6.55,0.21,2.39,0.1,0.31,0,0,0,1.04,1.87,0,0.1
22Month,0,1.5,1.5,4.1,0,0,0.14,0.27,0.82,2.6,0,0,0,0,0.14,1.5,1.64,0.27,0,0.41,1.23,0.41,0.14,0,0.27,1.64,0,0
