stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Macrophage,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0.37,0,0,0,0.37,0.37,0,0,3.33
3Month,0,0.21,0,0,0,0.1,0,0,0.1,0.1,0.62
22Month,0,0,0,0.14,0.41,0.27,0,0,0,0,1.09
