stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,0.73,0,0.1,0.1,0.42,0,0.52,0.1,0,0.42,1.04,0.31,0.31,0.1,0,0,26.42,0,0,0,0,0,0,0.62,0,0,0,0.1,0.21
22Month,1.64,0.27,1.78,0,0,0.27,2.05,1.23,12.57,1.37,0.14,0.96,0,0.41,0.27,1.37,0.68,0.41,0.27,0,0,0.14,0.14,46.87,0.14,0,0.41,0.27,0.14,0,0.27
