stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,9,0,2,0,1,0,1,0,0,1,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,9.02,0,2.25,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,4.79,5.36,0,0.28,1.41,0,0,0.28,0,0,0,0
21Day,0.37,0,1.85,0,179.81,0,68.82,0,0,0,0,0,0.74,2.22,0.37,0,1.48,0.37,3.33,0,0,0,6.66,3.33,0,0,1.48,2.96,0.37,0.74,1.11,0.37,0,0.37
3Month,0,0.52,2.91,0,0,1.66,11.03,0.21,1.25,0,0,1.14,0.83,2.18,0.52,0.21,0,0.94,0.52,0.1,0,0.21,0,0,1.35,0,0,0.1,3.22,0,0,0,0.31,0.62
22Month,0,0.14,0.14,0,0,0.82,8.06,0,2.87,0.14,0,0.96,7.11,3.96,0.14,0.14,0.14,0.68,0.68,0,0.14,0.14,0.27,0,0.55,0,0,0,0.14,0,0,0,0,0.82
