stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0,0
21Day,1.11,0,0.37,0,0,0,0,0.37,0,0,0,0,0.74,0.37,0,0,0.74,0.37,0.37,0,0
3Month,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.83,0.1,0.21,0,0.1,0.1,0.1,0.1,0.21,0,0,0,0.1,0.21
22Month,0,0,0,0.14,0,0.14,0,2.05,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0
