stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,2,0,0,0,0,3,0,0,7,0,0,0
72hpf,0.56,0.28,0,0.56,0.28,0,0,0,5.64,0,0.56,0.85,5.07,0,0.28
21Day,0,0,0.37,1.11,0,0,0,0.37,13.32,0.37,0.74,0,6.66,0.74,0
3Month,0,0,0,0.31,0,0,0.1,0,0.31,0,0,0,0.1,0,0
22Month,0,0,0,0,0,0.27,0.41,0.14,0,0,0,0,0,0,0
