stage,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Pancreatic_cell,T_cell
24hpf,0,1,1,0,0,0
72hpf,0,0.85,0,0,0,0
21Day,0,0,0,0,0.37,1.11
22Month,0.55,0,0,0.14,0,0
