stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.85,0,0,0,0,0,0,0,0,0,0,0,2.54,0,31.57,2.25,0.28,3.38,7.89,0,0,1.69,0,0,16.07,0,0
21Day,1.85,0.74,0.37,0.74,1.11,0,0,0,0,0,0,0.74,0.37,0,0.74,0.37,2.96,0,22.2,1.48,0,25.9,3.7,0.37,0,1.11,0.37,0.37,1.11,0,0.37
3Month,0,0,0,0.73,0,0.1,0.52,0.1,0.1,0.62,0.1,0,0.42,0.1,0.21,0.1,0,0.1,0,0.1,0,7.7,0,0.1,0.31,0.42,0,0,0,0.21,0.31
22Month,0.14,0,0,0.41,0,0.14,0,0,0.27,2.46,0.14,0.14,0.82,0.14,0,0.27,1.09,0,0.41,0,0,2.32,0,0,0.14,7.11,0.14,0,0,0,0.41
