stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0
72hpf,8.46,0,0,4.51,4.79,0,0,0,0,0,0.28,0,0,0,0,0.28,0,10.15,0,0,0,2.54,1.69,0,11.56,0.28,0,0.28,0,0,0,0
21Day,7.77,0,0,2.96,0,1.11,0.37,0,0,0,0,0,0,4.81,0,1.11,0.37,18.87,0.37,2.22,0,1.48,1.11,0,9.25,0.74,0,0,0,1.11,0,1.48
3Month,0.42,0.42,0,2.39,0.31,0,0,0.1,0.21,0,0,0.83,0.21,0.1,0.31,1.87,0.21,4.58,0.1,0.21,0.1,0,0,0.31,0.1,0,1.35,0.1,0.1,0.73,0.1,1.04
22Month,0,0.14,0.14,0.68,0,0,0,0,0.27,29.24,0,2.87,0,0,1.09,0,0,5.74,0.14,0.41,0,0.14,0,0.27,0,0.14,0.55,0.14,0,1.37,0,0.41
