stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,3,11,0,3,4,1,0,0,0,0,0
72hpf,0.56,1.69,0,0,0,0,0.56,0,4.23,0.28,13.53,1.97,1.97,2.82,0,0.28,0,0
21Day,0.37,0.37,0,0,0,0,0,0,1.48,1.11,2.59,0,0.37,3.7,0.37,0.74,0,0
3Month,0,0,0,0.31,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.62
22Month,0,0,0.14,1.91,0.14,0,0,0.14,0,0,0,0.14,0.14,0,0,0,0,0
