stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,2,37,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,1.13,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.56,0,0,0,7.05,5.36,0,0,0.28,0.28,0,0.28,0,0,0,0
21Day,0.74,0,0.74,1.11,2.96,0,4.44,0,0.37,0,1.48,0.37,0,0,0,1.48,0,0.37,0,2.59,4.07,0,0,2.22,0,0.74,1.11,0.74,0.37,0,0.37
3Month,0,0.1,1.14,0,0,0,0,0.1,1.14,0.21,0.1,1.46,0.1,0.31,0.1,0.31,0.1,0,0.31,0.1,0,0,0,0,0.1,10.09,0,0,0,1.98,0
22Month,0,0,0.14,0,0,0.14,0,0.14,1.5,0.14,0,1.64,0,0.14,0,0.14,0,0,0,0.27,0,0.14,0.55,0,0,2.73,0.14,0,0,0,0
