stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,1,2,1,0,0
72hpf,0.28,0,0.28,0.28,0.28,9.3,0,0.28,0.28,0
21Day,0,0.37,0,0,0.37,3.7,0,0,0,0.37
