stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,1,0
72hpf,0,0,0.28,0,3.66,6.76,0
21Day,0,0,0,0,1.11,0.74,0.37
3Month,0.1,0,0,0,0,0,0
22Month,0.55,0.14,0,0.14,0,0,0
