stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,8.46,0,0,0,0,0.28,0,0
21Day,0,1.85,0.37,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0
3Month,0,1.04,0,0.1,0,0,0.73,0.21,0.1,0,0.21,0.21,0.21,0,0,0.52,0
22Month,0,0.68,0,0.55,0.27,0.14,6.01,0,0.27,0,0.14,0,0,0.14,0,0,0.14
