stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.13,5.64,1.13,0,0,0.28,0,0.28,0,0.28
21Day,0.37,0,0,0,0,0,0,0,0.74,4.07,0.74,0,1.11,2.22,0,0,0,0
3Month,0,0.21,0.1,0,0.31,0.31,0.1,0.1,0.52,0,0,0,0.52,0,0.21,0.21,0,0.1
22Month,0,0,0,0.14,0,0.68,0,0,0.14,0,0,0.14,0.68,0,0.27,0,0.14,0
