stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,1.13,3.38,0,1.13,0,0,0.28,23.39,3.38,0,0,1.13,0,0,0,4.51,1.69,0,0,0,0
21Day,0.74,0,0,4.07,0.37,0,0,0,0,0,1.11,0,0.37,0.37,0,2.22,0,0,0,24.05,3.7,0,0.37,2.96,0.74,1.85,0.37,19.61,44.03,0.74,0,0,0.37
3Month,0,0,0.31,1.77,0,0.21,0.1,0.52,1.77,0.73,0,1.04,0.1,0.21,0.52,0.62,0.1,0,0.1,0.62,0.1,0.52,0.1,0,0.42,39.11,0.31,0.21,0,0,0.42,12.59,0.31
22Month,0,0.27,0.14,0.41,0,0,0.14,0.41,6.83,0,0,1.91,0,0,0.41,0.68,0,0.27,0,0.27,0,0.27,0,0,0,5.74,0.41,3.28,0,0,0.14,0,0
