stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Retinal_pigment_epithelial_cell
24hpf,1,0,0,0,0,0,1,0,0
72hpf,0.28,0,0,0,0,0,0,1.13,0
21Day,0,0,0.37,0,0,0.74,0,0,0.37
22Month,0,0.41,0.14,1.09,0.14,0,0,0,0
