stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0
72hpf,9.3,0.28,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0.28,3.38,0.28,0,0.56,0,0,0,0,0
21Day,5.18,0,0,0,0.37,0,0.37,0,0.74,0.37,0,0.37,0,4.07,0,3.33,2.96,0,0,0.74,0.74,0,0,0,0
3Month,6.76,0,0.1,1.46,0,0,0.31,0.1,0,0.1,0.73,0.42,0.21,1.14,0.31,1.35,0,0,0.1,0,0,0.31,0.1,0.1,0.1
22Month,3.28,0,0.14,0.41,0,0.14,0.55,0,0,0,0.14,0,0,0.82,0,0.14,0,0,0.27,0,0,0.27,0,0,0
