stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,2,1,7,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0.28,0,4.51,3.95,0.56,0,0.56,0,0
21Day,0,1.11,0,0,0,0,0,0.37,0,1.48,0.74,0.37,0,0.37,0,0.37
3Month,0.1,0.31,0,0.1,0.1,0.52,0.1,0.1,0,0,0,0,0,0,0.1,0.21
22Month,0.14,0.14,0,0,0,2.87,0,0,0,0,0,0,0.14,0,0,0
